,Isocode,Country,Year,PopMale,PopFemale,PopTotal,GrowthRate,PopDensity,GDP,CO2,TFR,LEx,LExMale,LExFemale,CO2.norm,GDP.norm,PopTotal.norm,TFR.norm,Tech
4,AFG,Afghanistan,1960,4459.543,4314.897,8774.44,2.0206,13.456,739.4106486121,0.0128783147,7.671,31.575,31.282,31.893,0.2069561586,1.2240904486,0.7479580295,0.9979185638,0.1741699929
68,AFG,Afghanistan,1961,4549.481,4404.063,8953.544,2.0806,13.731,729.926789269,0.0149661408,7.671,32.091,31.775,32.433,0.240507789,1.2083899692,0.7632253599,0.9979185638,0.20503619
164,AFG,Afghanistan,1962,4644.11,4497.673,9141.783,2.1398,14.019,726.3017158817,0.0205649161,7.671,32.608,32.267,32.974,0.3304808209,1.2023886792,0.7792713836,0.9979185638,0.283145635
233,AFG,Afghanistan,1963,4743.604,4595.903,9339.507,2.1987,14.322,723.1891250031,0.0206649023,7.671,33.124,32.76,33.513,0.3320876132,1.1972358014,0.7961259354,0.9979185638,0.2857468623
319,AFG,Afghanistan,1964,4848.166,4698.965,9547.131,2.2565,14.641,720.4839612043,0.0239862635,7.671,33.639,33.251,34.051,0.3854623105,1.1927574169,0.8138243911,0.9979185638,0.3329187714
341,AFG,Afghanistan,1965,4957.974,4807.041,9765.015,2.2791,14.975,719.5929035446,0.0281617591,7.671,34.152,33.741,34.587,0.4525630564,1.1912822756,0.8323974382,0.9979185638,0.3913568207
389,AFG,Afghanistan,1966,5071.537,4918.588,9990.125,2.2936,15.32,709.7114236813,0.0298294566,7.671,34.662,34.228,35.12,0.4793631676,1.1749235375,0.8515864499,0.9979185638,0.4203040221
509,AFG,Afghanistan,1967,5188.586,5033.316,10221.902,2.3577,15.676,711.9105741861,0.034240203,7.671,35.17,34.713,35.65,0.5502444251,1.1785642197,0.8713437755,0.9979185638,0.4809621361
514,AFG,Afghanistan,1968,5311.794,5153.976,10465.77,2.4858,16.05,719.4731305368,0.031913562,7.671,35.674,35.193,36.175,0.5128550074,1.191083992,0.8921317721,0.9979185638,0.4435685041
630,AFG,Afghanistan,1969,5444.84,5284.351,10729.191,2.6346,16.454,713.1226108949,0.0239533437,7.671,36.172,35.669,36.696,0.3849332854,1.1805707401,0.9145865216,0.9979185638,0.3358937631
688,AFG,Afghanistan,1970,5589.427,5426.194,11015.621,2.7561,16.893,709.457603211,0.0413957597,7.671,36.663,36.137,37.208,0.6652351323,1.1745033391,0.9390026232,0.9979185638,0.5834846159
732,AFG,Afghanistan,1971,5744.702,5578.744,11323.446,2.7948,17.365,658.6984391796,0.0456574792,7.671,37.143,36.596,37.71,0.7337215071,1.0904718094,0.9652424949,0.9979185638,0.6931469162
791,AFG,Afghanistan,1972,5906.569,5737.808,11644.377,2.7275,17.857,629.9954279458,0.0358971545,7.671,37.614,37.044,38.202,0.5768718457,1.0429541249,0.9925995591,0.9979185638,0.569800238
855,AFG,Afghanistan,1973,6069.184,5897.168,11966.352,2.5351,18.351,684.0618506358,0.0373547427,7.671,38.075,37.483,38.685,0.6002954741,1.132460804,1.0200456168,0.9979185638,0.5460725907
932,AFG,Afghanistan,1974,6224.908,6048.681,12273.589,2.2414,18.822,702.8715206044,0.0426118228,7.671,38.529,37.915,39.162,0.6847774216,1.1636001139,1.0462353658,0.9979185638,0.6062533704
980,AFG,Afghanistan,1975,6366.757,6185.033,12551.79,2.0114,19.249,720.6330532106,0.0462085487,7.671,38.977,38.341,39.631,0.7425772651,1.1930042379,1.0699500042,0.9979185638,0.6412216111
1028,AFG,Afghanistan,1976,6497.738,6309.072,12806.81,1.762,19.64,737.4476161527,0.0423212338,7.67,39.417,38.76,40.094,0.6801076185,1.2208406586,1.0916886288,0.997788474,0.5738880004
1128,AFG,Afghanistan,1977,6615.667,6418.793,13034.46,1.259,19.989,669.270902636,0.0500212514,7.67,39.855,39.176,40.553,0.8038478819,1.1079744672,1.1110941573,0.997788474,0.7473991647
1185,AFG,Afghanistan,1978,6702.758,6496.839,13199.597,0.4349,20.242,704.1588926158,0.0446225745,7.67,40.298,39.598,41.018,0.7170904564,1.1657313515,1.1251709012,0.997788474,0.6337003612
1218,AFG,Afghanistan,1979,6736.161,6520.967,13257.128,-0.5802,20.33,688.8189291427,0.0460884137,7.669,40.756,40.035,41.497,0.74064668,1.1403361225,1.130075006,0.9976583843,0.6690933099
1335,AFG,Afghanistan,1980,6702.34,6478.091,13180.431,-1.6573,20.213,689.9746687251,0.0364176255,7.669,41.242,40.5,42.004,0.5852358812,1.1422494433,1.1235371373,0.9976583843,0.5278110508
1346,AFG,Afghanistan,1981,6598.381,6365.407,12963.788,-2.5729,19.88,763.5575628795,0.0417316297,7.67,41.77,41.006,42.553,0.6706326054,1.2640655384,1.1050698765,0.997788474,0.5465420252
1410,AFG,Afghanistan,1982,6437.987,6196.507,12634.494,-3.1564,19.375,832.6465771596,0.0453520339,7.671,42.347,41.56,43.15,0.7288129622,1.378442039,1.0769999266,0.9979185638,0.5446732759
1506,AFG,Afghanistan,1983,6245.866,5996.062,12241.928,-3.2184,18.773,862.5476877081,0.0562002979,7.673,42.977,42.165,43.801,0.9031459464,1.4279431706,1.0435364928,0.9981787433,0.6515616315
1555,AFG,Afghanistan,1984,6056.13,5798.075,11854.205,-2.7819,18.179,846.7450473519,0.0651245697,7.676,43.661,42.824,44.506,1.0465601321,1.4017819824,1.0104858901,0.9985690126,0.7691166299
1639,AFG,Afghanistan,1985,5897.654,5631.323,11528.977,-2.339,17.68,818.9504214271,0.0830082322,7.679,44.4,43.536,45.266,1.3339528667,1.3557681251,0.9827625375,0.9989592819,1.0135928872
1704,AFG,Afghanistan,1986,5768.412,5494.027,11262.439,-1.7857,17.271,877.6639891456,0.0760936419,7.681,45.192,44.301,46.08,1.2228345192,1.4529681283,0.9600420861,0.9992194614,0.8670019828
1767,AFG,Afghanistan,1987,5672.646,5390.461,11063.107,-0.4508,16.966,725.7017021325,0.0770127235,7.682,46.024,45.106,46.933,1.2376042772,1.2013953596,0.9430504638,0.9993495512,1.0612173464
1847,AFG,Afghanistan,1988,5651.822,5361.523,11013.345,1.8173,16.889,655.56171082,0.0710047674,7.682,46.88,45.936,47.81,1.1410556579,1.0852789721,0.9388086105,0.9993495512,1.0831134007
1883,AFG,Afghanistan,1989,5757.41,5457.913,11215.323,4.497,17.199,639.7522358941,0.0674969415,7.682,47.744,46.775,48.695,1.0846844482,1.0591064693,0.9560257853,0.9993495512,1.0550481526
1936,AFG,Afghanistan,1990,6020.701,5710.492,11731.193,7.2401,17.99,604.0490304301,0.0622272603,7.687,48.601,47.609,49.573,1,1,1,1,1.0301690281
2006,AFG,Afghanistan,1991,6467.621,6144.422,12612.043,9.0877,19.341,600.5932101902,0.0539167207,7.7,49.439,48.427,50.431,0.8664485706,0.9942789077,1.07508614,1.0016911669,0.8977244463
2071,AFG,Afghanistan,1992,7074.96,6736.916,13811.876,9.4142,21.181,552.8277775092,0.0281641683,7.725,50.247,49.218,51.258,0.4526017724,0.9152034846,1.1773632912,1.004943411,0.5094564606
2137,AFG,Afghanistan,1993,7763.958,7411.367,15175.325,8.2781,23.272,475.7891576355,0.0247111676,7.758,51.017,49.975,52.046,0.397111612,0.7876664537,1.293587532,1.0092363731,0.5193722311
2192,AFG,Afghanistan,1994,8424.452,8060.566,16485.018,6.4655,25.28,426.0660998917,0.0218380107,7.796,51.738,50.685,52.785,0.3509396146,0.7053501925,1.4052294596,1.0141797841,0.5125498306
2248,AFG,Afghanistan,1995,8978.073,8608,17586.073,4.6075,26.969,512.4157866205,0.0196746596,7.832,52.4,51.338,53.464,0.3161742863,0.8483016457,1.4990864953,1.0188630155,0.3839588888
2341,AFG,Afghanistan,1996,9392.389,9022.918,18415.307,3.2373,28.24,526.0686691692,0.0177569671,7.859,52.995,51.924,54.074,0.285356723,0.8709039212,1.5697727418,1.0223754391,0.3375408594
2376,AFG,Afghanistan,1997,9692.274,9328.952,19021.226,2.4697,29.17,540.9086031822,0.0159821454,7.869,53.527,52.448,54.622,0.256835113,0.895471354,1.6214229874,1.0236763367,0.2954685011
2495,AFG,Afghanistan,1998,9926.517,9570.319,19496.836,2.4833,29.899,556.1953237171,0.0147716276,7.854,54.009,52.92,55.118,0.2373819368,0.9207784397,1.6619653261,1.0217249902,0.2655834548
2507,AFG,Afghanistan,1999,10170.774,9816.297,19987.071,2.998,30.651,571.2563173133,0.011357342,7.809,54.449,53.348,55.572,0.1825139321,0.9457118355,1.7037543411,1.015870951,0.1988134154
2595,AFG,Afghanistan,2000,10478.861,10116.499,20595.36,3.5882,31.584,565.2309015098,0.0103421353,7.733,54.863,53.751,56.001,0.1661994321,0.9357367913,1.7556066122,1.005984129,0.1829718667
2679,AFG,Afghanistan,2001,10865.003,10482.779,21347.782,3.9271,32.737,506.5962946338,0.0082444162,7.623,55.271,54.145,56.423,0.1324888188,0.8386675073,1.819745187,0.9916742552,0.1627413445
2749,AFG,Afghanistan,2002,11307.25,10895.556,22202.806,4.0312,34.049,618.7173270335,0.0044138565,7.484,55.687,54.547,56.853,0.0709312366,1.0242832881,1.8926298459,0.9735917783,0.0713388219
2809,AFG,Afghanistan,2003,11780.314,11335.828,23116.142,3.8301,35.449,668.4316346284,0.0068783104,7.321,56.122,54.97,57.302,0.1105353245,1.1065850634,1.9704851842,0.9523871471,0.1029022273
2845,AFG,Afghanistan,2004,12245.179,11773.503,24018.682,3.4463,36.833,685.1098158964,0.0083268516,7.136,56.583,55.419,57.778,0.1338135656,1.134195705,2.0474202411,0.9283205412,0.1215403922
2914,AFG,Afghanistan,2005,12673.953,12186.902,24860.855,3.0519,38.125,757.7937736416,0.0111420142,6.93,57.071,55.896,58.279,0.179053588,1.2545236156,2.1192094444,0.9015220502,0.1470322746
2986,AFG,Afghanistan,2006,13059.767,12571.515,25631.282,2.7626,39.306,790.1601046618,0.0142404114,6.702,57.582,56.397,58.803,0.2288452251,1.3081059067,2.1848828163,0.8718615845,0.1802218475
3038,AFG,Afghanistan,2007,13413.54,12935.703,26349.243,2.5589,40.407,862.6235942934,0.0206078027,6.456,58.102,56.906,59.336,0.3311700141,1.4280688336,2.2460838382,0.8398595031,0.238896812
3116,AFG,Afghanistan,2008,13746.349,13285.848,27032.197,2.4699,41.455,868.8580032192,0.0396194212,6.196,58.618,57.411,59.863,0.6366891467,1.4383898648,2.3043007646,0.806036165,0.4559942027
3197,AFG,Afghanistan,2009,14075.728,13632.459,27708.187,2.4584,42.491,,0.0642048504,5.928,59.124,57.906,60.379,1.0317801248,,2.3619240601,0.7711721088,
3234,AFG,Afghanistan,2010,14414.542,13983.27,28397.812,2.4614,43.549,,0.0790906004,5.659,59.612,58.384,60.877,1.2709960237,,2.4207096414,0.7361779628,
3307,AGO,Angola,1960,2433.733,2532.255,4965.988,1.8099,3.983,1252.9849850251,0.0302054697,7.316,32.998,31.538,34.504,0.2583928905,1.4434223489,0.4805557351,1.0210746685,0.2410680898
3392,AGO,Angola,1961,2478.342,2578.346,5056.688,1.83,4.056,1396.1105433385,0.0245219796,7.354,33.399,31.935,34.91,0.2097734369,1.608301124,0.4893327207,1.0263782275,0.1756449711
3421,AGO,Angola,1962,2524.318,2625.758,5150.076,1.8267,4.131,1335.2631518965,0.0625233492,7.385,33.801,32.331,35.317,0.5348564045,1.5382057232,0.4983698225,1.0307048151,0.4682473944
3514,AGO,Angola,1963,2571.104,2673.911,5245.015,1.7928,4.207,1380.4007085149,0.0598663684,7.41,34.203,32.727,35.723,0.5121272445,1.5902035993,0.5075570136,1.0341939986,0.433688334
3561,AGO,Angola,1964,2617.91,2721.983,5339.893,1.7441,4.283,1509.5371230335,0.0625480698,7.425,34.604,33.124,36.13,0.5350678772,1.7389670634,0.5167383018,1.0362875087,0.4143526438
3624,AGO,Angola,1965,2664.31,2769.531,5433.841,1.6936,4.359,1595.7722357443,0.0596263306,7.43,35.007,33.521,36.537,0.5100738402,1.8383087877,0.5258295945,1.0369853454,0.3736518864
3694,AGO,Angola,1966,2710.206,2816.447,5526.653,1.6686,4.433,1660.1778418649,0.0767191282,7.422,35.41,33.919,36.945,0.6562942902,1.9125032053,0.5348109571,1.0358688067,0.4621139149
3761,AGO,Angola,1967,2756.242,2863.401,5619.643,1.6891,4.508,1727.3089178802,0.0482237039,7.403,35.816,34.319,37.355,0.4125299943,1.9898373287,0.5438095446,1.0332170272,0.279184015
3801,AGO,Angola,1968,2803.664,2911.708,5715.372,1.7674,4.584,1672.2164240922,0.0797848329,7.375,36.222,34.72,37.766,0.6825198814,1.9263714949,0.5530731836,1.0293091417,0.4771202564
3877,AGO,Angola,1969,2854.15,2963.133,5817.283,1.8868,4.666,1691.4486897075,0.1306451826,7.339,36.627,35.12,38.175,1.1176050801,1.9485268139,0.5629350511,1.0242847174,0.7723863185
3967,AGO,Angola,1970,2909.025,3019.062,5928.087,2.0227,4.755,1767.6883901994,0.1648086474,7.301,37.032,35.52,38.585,1.4098566654,2.0363539538,0.5736574889,1.0189811584,0.9323399321
3973,AGO,Angola,1971,2968.988,3080.226,6049.214,2.153,4.852,1728.3285795461,0.1537389816,7.264,37.439,35.922,38.995,1.3151611365,1.9910119656,0.5853788774,1.0138171668,0.8895240375
4053,AGO,Angola,1972,3034.145,3146.718,6180.863,2.2745,4.958,1711.7280939176,0.1988395472,7.232,37.846,36.324,39.405,1.700974223,1.9718884228,0.5981184736,1.0093510119,1.1616304474
4118,AGO,Angola,1973,3104.526,3218.531,6323.057,2.3797,5.072,1789.4706973344,0.2104994467,7.208,38.247,36.72,39.809,1.8007189109,2.0614468873,0.6118785033,1.0060013957,1.1763224009
4193,AGO,Angola,1974,3179.927,3295.406,6475.333,2.4755,5.194,1710.5659598376,0.20524041,7.192,38.635,37.105,40.198,1.7557304468,1.9705496595,0.6266141622,1.0037683182,1.1998392044
4255,AGO,Angola,1975,3260.337,3377.291,6637.628,2.5451,5.324,1072.8142514045,0.181390099,7.185,38.998,37.468,40.559,1.5517028031,1.2358680153,0.6423193538,1.0027913468,1.6907875595
4314,AGO,Angola,1976,3345.136,3463.597,6808.733,2.621,5.461,953.8205484813,0.1315957022,7.186,39.324,37.801,40.876,1.1257363057,1.0987888227,0.6588770839,1.0029309142,1.3796693977
4406,AGO,Angola,1977,3434.762,3554.788,6989.55,2.7502,5.606,940.8288574064,0.1379201808,7.189,39.605,38.096,41.141,1.1798391004,1.0838225641,0.6763746385,1.0033496162,1.4659433515
4420,AGO,Angola,1978,3531.417,3653.027,7184.444,2.9454,5.763,960.2079151543,0.2054438729,7.194,39.84,38.35,41.355,1.7574709713,1.1061469857,0.6952344162,1.0040474529,2.1395769568
4518,AGO,Angola,1979,3638.023,3761.181,7399.204,3.1651,5.935,958.3813892997,0.202859659,7.197,40.029,38.561,41.522,1.735364296,1.1040428517,0.7160166149,1.0044661549,2.1166902991
4576,AGO,Angola,1980,3756.243,3880.898,7637.141,3.4076,6.126,961.4300883276,0.1909091373,7.2,40.182,38.729,41.661,1.6331334796,1.1075549132,0.7390416383,1.0048848569,1.9856788304
4657,AGO,Angola,1981,3887.906,4013.964,7901.87,3.5826,6.338,923.4583420427,0.1822353443,7.201,40.311,38.855,41.794,1.5589334596,1.0638119571,0.7646593078,1.0050244243,1.973400813
4684,AGO,Angola,1982,4031.325,4158.768,8190.093,3.5948,6.569,862.0043581801,0.1548211968,7.203,40.429,38.948,41.941,1.3244189532,0.9930177698,0.7925504778,1.005303559,1.7960604875
4738,AGO,Angola,1983,4180.407,4309.457,8489.864,3.4145,6.81,808.0894574779,0.1643135862,7.205,40.547,39.018,42.114,1.4056216611,0.9309085079,0.821559141,1.0055826936,2.0333588646
4847,AGO,Angola,1984,4326.776,4457.977,8784.753,3.1254,7.046,790.1969889477,0.1554966884,7.207,40.671,39.072,42.315,1.3301974508,0.9102966177,0.8500953759,1.0058618283,1.967821829
4896,AGO,Angola,1985,4464.761,4598.885,9063.646,2.7964,7.27,779.3311516632,0.1414441826,7.208,40.794,39.109,42.53,1.2099851969,0.8977793149,0.8770836873,1.0060013957,1.8149432666
4985,AGO,Angola,1986,4591.427,4729.251,9320.678,2.5459,7.476,694.1870513402,0.1363634706,7.206,40.902,39.127,42.736,1.1665222119,0.7996944227,0.9019565227,1.005722261,1.9643620591
5013,AGO,Angola,1987,4709.41,4851.612,9561.022,2.4489,7.669,759.6724003211,0.1658818482,7.202,40.988,39.129,42.911,1.4190373689,0.87513269,0.92521447,1.0051639916,2.1835971417
5095,AGO,Angola,1988,4825.415,4972.64,9798.055,2.5501,7.859,852.8813880417,0.1427834402,7.194,41.05,39.126,43.045,1.2214418846,0.9825082273,0.9481520139,1.0040474529,1.6741300981
5126,AGO,Angola,1989,4949.155,5101.978,10051.133,2.7739,8.062,853.4624895939,0.1359050766,7.182,41.1,39.134,43.139,1.1626008776,0.9831776487,0.972642223,1.0023726448,1.5923965989
5225,AGO,Angola,1990,5087.478,5246.366,10333.844,3.0392,8.289,868.0653905631,0.1168974488,7.165,41.151,39.172,43.203,1,1,1,1,1.3466433529
5288,AGO,Angola,1991,5243.621,5409.106,10652.727,3.233,8.545,853.7766357674,0.1118023582,7.143,41.221,39.26,43.25,0.9564140137,0.983539541,1.0308581202,0.9969295185,1.3095036047
5376,AGO,Angola,1992,5415.147,5587.611,11002.758,3.3022,8.826,781.7052681559,0.1095179954,7.116,41.329,39.414,43.307,0.9368724169,0.9005142662,1.064730414,0.9931612003,1.4010139097
5409,AGO,Angola,1993,5596.463,5775.693,11372.156,3.2126,9.122,576.2021920519,0.1391117041,7.087,41.495,39.646,43.402,1.1900319937,0.6637774047,1.100476841,0.9891137474,2.4142862693
5474,AGO,Angola,1994,5779.212,5964.22,11743.432,3.0321,9.42,565.922962232,0.0903483752,7.054,41.736,39.966,43.554,0.7728857736,0.6519358661,1.1364050009,0.9845080251,1.5964783405
5533,AGO,Angola,1995,5957.848,6147.104,12104.952,2.8262,9.71,630.6280181186,0.2480802898,7.019,42.073,40.39,43.796,2.1222044819,0.726475246,1.1713890784,0.9796231682,3.933860892
5591,AGO,Angola,1996,6130.111,6321.834,12451.945,2.6895,9.988,734.2308545612,0.229763302,6.984,42.526,40.927,44.155,1.9655116889,0.8458243613,1.2049673868,0.9747383112,3.1293060025
5682,AGO,Angola,1997,6299.399,6491.989,12791.388,2.6702,10.26,752.5064903257,0.1573715065,6.949,43.088,41.567,44.632,1.3462355947,0.8668776552,1.237815086,0.9698534543,2.0912976637
5741,AGO,Angola,1998,6472.626,6664.916,13137.542,2.8002,10.538,731.0056501261,0.1517026549,6.913,43.742,42.285,45.215,1.2977413658,0.8421089679,1.2713122048,0.96482903,2.0752596762
5792,AGO,Angola,1999,6659.566,6851.05,13510.616,3.0205,10.837,733.6681836391,0.1848176279,6.878,44.468,43.059,45.888,1.5810236215,0.8451761718,1.3074143562,0.9599441731,2.5190901279
5851,AGO,Angola,2000,6867.132,7057.798,13924.93,3.2525,11.169,736.400293156,0.1868591081,6.844,45.234,43.856,46.621,1.5984874776,0.8483235263,1.347507278,0.9551988835,2.5374665087
5924,AGO,Angola,2001,7097.657,7287.626,14385.283,3.4254,11.539,741.1029993843,0.1844941111,6.811,46.004,44.639,47.374,1.5782560952,0.8537409825,1.3920553668,0.9505931612,2.4894530349
5999,AGO,Angola,2002,7348.643,7537.931,14886.574,3.5275,11.941,825.4988259146,0.2320211487,6.778,46.743,45.381,48.109,1.9848264533,0.9509638731,1.4405650018,0.9459874389,2.8106781189
6052,AGO,Angola,2003,7616.24,7804.835,15421.075,3.5397,12.37,824.9786913599,0.1603001088,6.743,47.425,46.06,48.793,1.3712883421,0.9503646849,1.4922883488,0.941102582,1.9430818088
6127,AGO,Angola,2004,7894.457,8082.258,15976.715,3.4914,12.815,885.2306488196,0.3207793342,6.704,48.036,46.664,49.41,2.7441089386,1.0197741535,1.5460573045,0.9356594557,3.6236808407
6161,AGO,Angola,2005,8178.765,8365.611,16544.376,3.4342,13.271,1034.8630187885,0.3157568469,6.657,48.572,47.191,49.954,2.7011440381,1.1921486907,1.6009895253,0.9290997906,3.051194614
6244,AGO,Angola,2006,8468.325,8654.084,17122.409,3.3901,13.734,1213.878266232,0.3546229973,6.598,49.041,47.649,50.433,3.0336247786,1.3983719192,1.6569254384,0.9208653175,2.9214049475
6319,AGO,Angola,2007,8764.1,8948.724,17712.824,3.3401,14.208,1445.3952462345,0.3872335659,6.523,49.471,48.065,50.875,3.3125921041,1.6650764585,1.7140595503,0.9103977669,2.6790842638
6339,AGO,Angola,2008,9065.474,9248.967,18314.441,3.2881,14.69,1599.1009701031,0.3960262833,6.434,49.882,48.463,51.301,3.3878094632,1.8421434462,1.7722776732,0.8979762736,2.4765558317
6444,AGO,Angola,2009,9372.112,9554.538,18926.65,3.2359,15.181,1591.8653973302,0.4010746751,6.331,50.286,48.852,51.72,3.4309959645,1.8338081608,1.8315207777,0.8836008374,2.5195263105
6517,AGO,Angola,2010,9683.827,9865.297,19549.124,3.1786,15.681,1600.0061716055,0.424315688,6.218,50.689,49.241,52.138,3.6298113631,1.8431862265,1.8917572203,0.8678297278,2.6519628208
6564,ALB,Albania,1960,829.663,789.166,1618.829,3.0241,56.311,1450.9147231803,0.3409872198,6.186,62.293,61.309,63.247,0.5755840892,0.5805051771,0.469650252,2.0828282828,2.3501534193
6645,ALB,Albania,1961,855.257,813.274,1668.531,2.9904,58.04,1462.96770275,0.3727830049,6.076,63.313,62.272,64.325,0.6292551565,0.585327526,0.4840696606,2.0457912458,2.5481287402
6699,ALB,Albania,1962,881.267,837.914,1719.181,2.9431,59.802,1511.3904025676,0.3908837987,5.956,64.202,63.117,65.261,0.6598091724,0.6047012545,0.4987641004,2.0053872054,2.5862530163
6726,ALB,Albania,1963,907.594,862.936,1770.53,2.882,61.588,1562.9426326752,0.3208078937,5.833,64.926,63.811,66.017,0.5415215251,0.6253270956,0.5136613322,1.963973064,2.0525890521
6804,ALB,Albania,1964,934.147,888.152,1822.299,2.8137,63.389,1616.4727854678,0.3018165515,5.711,65.475,64.346,66.585,0.5094642697,0.6467442956,0.5286804132,1.9228956229,1.8671304226
6855,ALB,Albania,1965,960.863,913.439,1874.302,2.7407,65.198,1675.4469424712,0.316384446,5.594,65.863,64.723,66.987,0.5340547758,0.6703396199,0.5437673817,1.8835016835,1.8883584913
6925,ALB,Albania,1966,987.672,938.71,1926.382,2.6737,67.009,1738.2639856554,0.361299057,5.483,66.122,64.962,67.273,0.6098703311,0.6954724676,0.5588766891,1.8461279461,2.0785051061
6992,ALB,Albania,1967,1014.576,964.006,1978.582,2.623,68.825,1803.6902014145,0.3694565098,5.376,66.316,65.116,67.517,0.6236400555,0.7216492348,0.5740208107,1.8101010101,2.0483368456
7066,ALB,Albania,1968,1041.676,989.491,2031.167,2.5934,70.654,1868.7851030568,0.4125707044,5.268,66.5,65.233,67.779,0.6964165205,0.7476934446,0.5892766274,1.7737373737,2.2076947411
7133,ALB,Albania,1969,1069.126,1015.406,2084.532,2.5778,72.511,1932.2530517803,0.4245557276,5.16,66.702,65.346,68.084,0.7166471575,0.773086717,0.6047587356,1.7373737374,2.197205626
7183,ALB,Albania,1970,1097.042,1041.924,2138.966,2.5672,74.404,2003.5365814808,0.4773334406,5.05,66.948,65.496,68.441,0.805735575,0.8016069721,0.6205509791,1.7003367003,2.3824543308
7252,ALB,Albania,1971,1125.47,1069.118,2194.588,2.5522,76.339,2083.6214742735,0.5408760095,4.933,67.251,65.714,68.84,0.9129949958,0.8336486174,0.636687882,1.6609427609,2.5958458204
7347,ALB,Albania,1972,1154.387,1096.933,2251.32,2.531,78.312,2165.2031663649,0.6835989553,4.809,67.595,66.004,69.247,1.1539103497,0.866289126,0.653146815,1.6191919192,3.1572046721
7387,ALB,Albania,1973,1183.762,1125.267,2309.029,2.5007,80.32,2273.048944528,0.6249380151,4.677,67.966,66.356,69.64,1.0548910848,0.9094377905,0.6698891926,1.5747474747,2.7493381371
7440,ALB,Albania,1974,1213.54,1153.959,2367.499,2.4654,82.354,2281.5226957341,0.5005281945,4.538,68.356,66.762,70.014,0.8448881607,0.9128281045,0.6868523495,1.5279461279,2.193833949
7533,ALB,Albania,1975,1243.689,1182.903,2426.592,2.429,84.409,2289.472183796,0.5163620419,4.393,68.748,67.19,70.37,0.8716155866,0.9160086628,0.7039962494,1.4791245791,2.255375914
7611,ALB,Albania,1976,1274.196,1212.06,2486.256,2.3988,86.484,2298.636292417,0.542985115,4.244,69.121,67.596,70.711,0.9165551513,0.9196751861,0.7213058062,1.428956229,2.3622054379
7669,ALB,Albania,1977,1305.113,1241.504,2546.617,2.3793,88.584,2308.6919862755,0.6125773919,4.094,69.459,67.943,71.045,1.0340264377,0.9236984289,0.7388175748,1.3784511785,2.6533526149
7681,ALB,Albania,1978,1336.553,1271.383,2607.936,2.3734,90.717,2319.3179934453,0.6790810817,3.947,69.753,68.204,71.382,1.1462842102,0.9279498519,0.7566072758,1.328956229,2.9279343482
7787,ALB,Albania,1979,1368.671,1301.901,2670.572,2.3757,92.896,2330.6254509064,0.7747403927,3.807,70.001,68.376,71.725,1.3077564712,0.9324739204,0.7747790612,1.2818181818,3.3241737423
7812,ALB,Albania,1980,1401.573,1333.203,2734.776,2.3336,95.129,2347.0841213924,0.5155815321,3.678,70.218,68.475,72.085,0.8702980913,0.9390589686,0.7934057505,1.2383838384,2.1966896175
7912,ALB,Albania,1981,1434.576,1364.769,2799.345,2.28,97.375,2359.6763374177,0.7151672981,3.562,70.426,68.533,72.472,1.2071974959,0.9440970639,0.8121383326,1.1993265993,3.0307855646
7953,ALB,Albania,1982,1467.482,1396.42,2863.902,2.2937,99.621,2372.6509904482,0.6959037006,3.46,70.646,68.59,72.885,1.1746806755,0.9492881707,0.8308674332,1.164983165,2.9330217694
8040,ALB,Albania,1983,1501.368,1428.983,2930.351,2.3932,101.932,2386.5014616263,0.7101538348,3.372,70.886,68.673,73.315,1.1987348043,0.9548296888,0.8501454358,1.1353535354,2.9757108731
8111,ALB,Albania,1984,1537.728,1463.597,3001.325,2.5203,104.401,2400.0878768306,0.7110192998,3.297,71.144,68.788,73.746,1.2001957033,0.9602655592,0.870736219,1.1101010101,2.9624719439
8159,ALB,Albania,1985,1577.196,1500.734,3077.93,2.7019,107.066,2412.6488281122,0.6981965152,3.233,71.398,68.92,74.15,1.1785509308,0.9652911455,0.8929606526,1.0885521886,2.8939002935
8206,ALB,Albania,1986,1620.929,1541.296,3162.225,2.7844,109.998,2427.9791499313,0.6947639716,3.177,71.615,69.04,74.488,1.1727568207,0.971424746,0.9174160879,1.0696969697,2.8614906829
8263,ALB,Albania,1987,1667.413,1584.099,3251.512,2.5782,113.104,2443.2591254139,0.6243249294,3.126,71.77,69.12,74.741,1.0538562005,0.977538203,0.9433197887,1.0525252525,2.5552956007
8327,ALB,Albania,1988,1711.411,1625.023,3336.434,2.0168,116.058,2458.7291149126,0.5988429563,3.075,71.853,69.145,74.902,1.0108428045,0.983727684,0.9679571276,1.0353535354,2.4355792293
8408,ALB,Albania,1989,1745.876,1658.532,3404.408,1.2399,118.422,2477.2712671924,0.7196552235,3.023,71.87,69.122,74.978,1.2147730832,0.9911463249,0.987677559,1.0178451178,2.905031972
8506,ALB,Albania,1990,1766.021,1680.861,3446.882,0.373,119.9,2499.4001439655,0.5924194678,2.97,71.842,69.07,74.989,1,1,1,1,2.3702465939
8539,ALB,Albania,1991,1769.649,1690.114,3459.763,-0.3737,120.348,1835.7061494482,0.3130272218,2.917,71.799,69.015,74.967,0.5283878043,0.7344586876,1.0037370006,0.9821548822,1.7052142136
8596,ALB,Albania,1992,1758.917,1687.941,3446.858,-0.8618,119.899,1764.0038342188,0.1888676586,2.867,71.779,68.993,74.954,0.3188073128,0.7057708781,0.9999930372,0.9653198653,1.0706760095
